FILM_FLAG,CATEGORY,NOMINEE,PERSON_FLAG,RELATED_FILM_SHOW,TWITTER_SCREEN_NAME,MOVIE_RELEASE_DATE,OFFICIAL_MOVIE_HASTAG,ACTOR_BIRTHDATE,ACTOR_AGE,WINNER_FLAG,GENDER_FLAG,NOMINEE_FLAG
0,Best TV Series – Comedy,Mozart in the Jungle,0,Mozart in the Jungle,MITJAmazon,,,,,W,,1
0,Best TV Series – Comedy,Orange Is the New Black,0,Orange Is the New Black,OINTB,,,,,L,,1
0,Best TV Series – Comedy,Silicon Valley,0,Silicon Valley,SiliconHBO,,,,,L,,1
0,Best TV Series – Comedy,Transparent,0,Transparent,transparent_tv,,,,,L,,1
0,Best TV Series – Comedy,Veep,0,Veep,VeepHBO,,,,,L,,1
0,Best TV Series – Drama,Empire,0,Empire,EmpireFOX,,,,,L,,1
0,Best TV Series – Drama,Game of Thrones,0,Game of Thrones,GameofThrones,,,,,L,,1
0,Best TV Series – Drama,Mr. Robot,0,Mr. Robot,whoismrrobot,,,,,W,,1
0,Best TV Series – Drama,Narcos,0,Narcos,NarcosNetflix,,,,,L,,1
0,Best TV Series – Drama,Outlander,0,Outlander,Outlander_Starz,,,,,L,,1
